"INCIDENT INFO","DESCRIPTION","START_DT","MODIFIED_DT","QUADRANT","Longitude","Latitude","Count","id","Point"
" Eastbound Glenmore Trail approaching Backfoot Trail SE ","Traffic incident.","2025/07/11 09:19:46 AM","2025/07/11 09:27:24 AM","SE","-114.05867324876","50.99384322502","1","2025-07-11T09:19:4650.99384322501876-114.05867324876453","POINT (-114.05867324876453 50.99384322501876)"
" Eastbound Glenmore Trail approaching Blackfoot Trail SE ","Traffic incident.  Blocking the right lane, delays in the area","2025/07/11 09:19:46 AM","2025/07/11 09:41:52 AM","SE","-114.05840967755","50.99381279172","1","2025-07-11T09:19:4650.99381279171689-114.05840967755343","POINT (-114.05840967755343 50.99381279171689)"
" Memorial Drive and 8 Street NW ","Traffic incident.","2025/07/11 09:01:01 AM","2025/07/11 09:41:52 AM","NW","-114.07949263262","51.05476535403","1","2025-07-11T09:01:0151.05476535403114-114.07949263261592","POINT (-114.07949263261592 51.05476535403114)"
" Northbound Harvest Hills Boulevard at Stoney Trail NE ","Traffic incident. Blocking the left lane","2025/07/10 11:57:03 PM","2025/07/11 12:07:03 AM","NE","-114.0691414617","51.17506725142","1","2025-07-10T23:57:0351.17506725142359-114.06914146169638","POINT (-114.06914146169638 51.17506725142359)"
" 11 Avenue at Macleod Trail SE ","Traffic incident. Blocking the WB left lanes","2025/07/10 11:44:05 PM","2025/07/10 11:45:50 PM","SE","-114.05856740693","51.04226544744","1","2025-07-10T23:44:0551.0422654474448-114.05856740692612","POINT (-114.05856740692612 51.0422654474448)"
" Northbound Stoney Trail approaching 16 Avenue NW ","Traffic incident. Blocking the left lanes","2025/07/10 09:32:39 PM","2025/07/10 11:45:50 PM","NW","-114.22991729798","51.08501054555","1","2025-07-10T21:32:3951.08501054555123-114.2299172979816","POINT (-114.2299172979816 51.08501054555123)"
" Westbound Glenmore Trail approaching Crowchild Trail SW ","Two vehicle incident. Blocking the left lane","2025/07/10 05:59:34 PM","2025/07/10 07:23:43 PM","SW","-114.12281384636","51.00131797012","1","2025-07-10T17:59:3451.00131797011575-114.12281384635536","POINT (-114.12281384635536 51.00131797011575)"
" Sarcee Trail and Stoney Trail NW ","Traffic incident. Blocking multiple lanes","2025/07/10 05:53:23 PM","2025/07/10 06:01:26 PM","NW","-114.16419308295","51.15422241464","1","2025-07-10T17:53:2351.15422241463744-114.16419308294525","POINT (-114.16419308294525 51.15422241463744)"
" Country Hills Boulevard and 14 Street NE ","Traffic incident.","2025/07/10 04:30:09 PM","2025/07/10 04:42:24 PM","NE","-114.02852001794","51.15437983706","1","2025-07-10T16:30:0951.15437983705676-114.02852001794038","POINT (-114.02852001794038 51.15437983705676)"
" 70 Avenue and 11 Street SE ","Traffic incident.","2025/07/10 04:23:50 PM","2025/07/10 05:30:12 PM","SE","-114.03992676618","50.99098949728","1","2025-07-10T16:23:5050.99098949728228-114.03992676617817","POINT (-114.03992676617817 50.99098949728228)"
" Bow Trail and 33 Street SW ","Two vehicle incident. Blocking multiple lanes","2025/07/10 02:40:41 PM","2025/07/10 02:43:40 PM","SW","-114.13541848275","51.04506939882","1","2025-07-10T14:40:4151.04506939881946-114.13541848274961","POINT (-114.13541848274961 51.04506939881946)"
" Northbound Deerfoot Trail and Beddington Trail NE ","Traffic incident. Blocking the right lane","2025/07/10 01:40:16 PM","2025/07/10 01:43:44 PM","NE","-114.04615462318","51.12216558764","1","2025-07-10T13:40:1651.122165587638534-114.04615462317723","POINT (-114.04615462317723 51.122165587638534)"
" Midlake Boulevard and Midridge Drive SE ","There is an incident involving a pedestrian- EMS on site.","2025/07/10 12:25:56 PM","2025/07/10 12:28:17 PM","SE","-114.06168748359","50.91491821539","1","2025-07-10T12:25:5650.91491821539097-114.06168748358833","POINT (-114.06168748358833 50.91491821539097)"
" Fairmount Drive and Farell Road SE ","Traffic signals are blank. Crews have been dispatched, please proceed with caution","2025/07/10 09:35:48 AM","2025/07/10 09:42:32 AM","SE","-114.06379699645","50.99204311601","1","2025-07-10T09:35:4850.99204311601289-114.06379699645387","POINT (-114.06379699645387 50.99204311601289)"
" Mt Alberta Place and Mt Alberta Views SE ","Traffic incident.","2025/07/10 08:04:08 AM","2025/07/10 08:38:39 AM","SW","-113.98865526091","50.91659880416","1","2025-07-10T08:04:0850.91659880416259-113.98865526090907","POINT (-113.98865526090907 50.91659880416259)"
" Southbound Deerfoot Trail and Beddington Trail NE ","Traffic incident.","2025/07/10 07:12:45 AM","2025/07/10 08:10:40 AM","NE","-114.04611183654","51.122806564","1","2025-07-10T07:12:4551.122806563996605-114.0461118365426","POINT (-114.0461118365426 51.122806563996605)"
" Madigan Drive and Madeira Road NE ","Traffic incident.","2025/07/10 06:54:34 AM","2025/07/10 07:15:33 AM","NE","-113.95028006907","51.06292711759","1","2025-07-10T06:54:3451.06292711759256-113.95028006907253","POINT (-113.95028006907253 51.06292711759256)"
" Westbound Crowchild Trail at Shaganappi Trail NW ","Two vehicle incident.  Blocking the right lanes","2025/07/09 09:06:39 PM","2025/07/09 09:16:50 PM","NW","-114.14909802863","51.09802598618","1","2025-07-09T21:06:3951.098025986181014-114.14909802863286","POINT (-114.14909802863286 51.098025986181014)"
" Southbound Deerfoot Trail approaching Glenmore Trail SE ","Traffic incident. Blocking the right lane","2025/07/09 05:50:56 PM","2025/07/09 06:33:01 PM","SE","-114.03074598079","51.00241328594","1","2025-07-09T17:50:5651.00241328594076-114.0307459807889","POINT (-114.0307459807889 51.00241328594076)"
" Southbound Stoney Trail at Crowchild Trail NW ","Traffic incident.","2025/07/09 05:48:07 PM","2025/07/09 06:26:49 PM","NW","-114.228740287","51.13050714199","1","2025-07-09T17:48:0751.130507141989575-114.22874028699884","POINT (-114.22874028699884 51.130507141989575)"
" Eastbound Crowchild Trail at Stoney Trail NW ","Traffic incident.","2025/07/09 05:36:17 PM","2025/07/09 05:52:37 PM","NW","-114.22197350946","51.12848025673","1","2025-07-09T17:36:1751.128480256726924-114.22197350946448","POINT (-114.22197350946448 51.128480256726924)"
" Southbound Crowchild Trail at 50 Avenue SW ","Traffic incident.","2025/07/09 05:19:57 PM","2025/07/09 05:28:48 PM","NW","-114.12015843981","51.00876752109","1","2025-07-09T17:19:5751.008767521094235-114.12015843980839","POINT (-114.12015843980839 51.008767521094235)"
" Southbound Deerfoot Trail approaching Calf Robe Bridge SE ","Traffic incident. Blocking the right lane","2025/07/09 05:15:41 PM","2025/07/09 05:17:38 PM","SE","-114.01367042178","51.00908237371","1","2025-07-09T17:15:4151.00908237370948-114.01367042177966","POINT (-114.01367042177966 51.00908237370948)"
" Centre Street and Samis Road NE ","Traffic signals are blank. The lane reversal lights are also blank. Crews have been dispatched.","2025/07/09 05:02:15 PM","2025/07/09 05:52:37 PM","NE","-114.06243886948","51.0552438922","1","2025-07-09T17:02:1551.05524389220353-114.06243886947576","POINT (-114.06243886947576 51.05524389220353)"
" Heritage Meadows Road and Heritage Meadows Wy SE ","Traffic incident.","2025/07/09 04:30:18 PM","2025/07/09 05:28:48 PM","SE","-114.03572029107","50.98222218478","1","2025-07-09T16:30:1850.98222218478281-114.03572029106827","POINT (-114.03572029106827 50.98222218478281)"
" Westbound Glenmore Trail approaching Crowchild Trail SW ","Stalled vehicle. Blocking the right lane","2025/07/09 04:06:38 PM","2025/07/09 04:09:28 PM","NW","-114.10949265944","50.99867921995","1","2025-07-09T16:06:3850.99867921995132-114.10949265943852","POINT (-114.10949265943852 50.99867921995132)"
" Southbound Deerfoot Trail at Southland Drive SE ","Traffic incident.  Blocking the right lane","2025/07/09 03:31:54 PM","2025/07/09 04:26:38 PM","SE","-114.0367237343","50.97065374794","1","2025-07-09T15:31:5450.97065374793616-114.0367237343029","POINT (-114.0367237343029 50.97065374793616)"
" Westbound 32 Avenue at 56 Street NE ","Traffic incident. Blocking multiple lanes","2025/07/09 02:34:55 PM","2025/07/09 03:39:27 PM","NE","-113.95300498327","51.08145806732","1","2025-07-09T14:34:5551.08145806732182-113.95300498327472","POINT (-113.95300498327472 51.08145806732182)"
" Eastbound Glenmore Trail approaching 14 Street SW ","Traffic incident. Blocking the right shoulder","2025/07/09 02:32:03 PM","2025/07/09 03:38:46 PM","SW","-114.10213175355","50.99639950785","1","2025-07-09T14:32:0350.99639950784688-114.10213175355376","POINT (-114.10213175355376 50.99639950784688)"
" Saddletowne Ci and 60 Street NE ","There is an incident involving a pedestrian- EMS on site.","2025/07/09 02:12:02 PM","2025/07/09 02:49:38 PM","NE","-113.94767920544","51.12654848264","1","2025-07-09T14:12:0251.126548482638434-113.94767920544254","POINT (-113.94767920544254 51.126548482638434)"
" Barlow Trail and 23 Avenue NE ","Traffic incident. Blocking multiple lanes in the intersection","2025/07/09 02:00:18 PM","2025/07/09 02:37:26 PM","NE","-114.00171287939","51.07337966241","1","2025-07-09T14:00:1851.07337966241227-114.00171287939199","POINT (-114.00171287939199 51.07337966241227)"
" Eastbound 5 Avenue at 7 Street SW ","Traffic incident. Blocking the right lanes","2025/07/09 01:55:18 PM","2025/07/09 02:03:27 PM","SW","-114.0778364786","51.04881248418","1","2025-07-09T13:55:1851.0488124841788-114.07783647860091","POINT (-114.07783647860091 51.0488124841788)"
" 69 Street and 26 Avenue SW ","Traffic incident.","2025/07/09 01:29:04 PM","2025/07/09 02:13:30 PM","SW","-114.18800867664","51.03058713812","1","2025-07-09T13:29:0451.030587138122804-114.18800867664179","POINT (-114.18800867664179 51.030587138122804)"
" 5 Avenue and 7 Street SW ","Traffic incident.","2025/07/09 01:01:50 PM","2025/07/09 01:03:17 PM","SW","-114.07857741896","51.04883347387","1","2025-07-09T13:01:5051.04883347387093-114.07857741896451","POINT (-114.07857741896451 51.04883347387093)"
" Aero Drive and Aero Link NE ","Traffic incident.","2025/07/09 11:32:34 AM","2025/07/09 11:46:35 AM","NE","-114.03977526015","51.12408280869","1","2025-07-09T11:32:3451.124082808693814-114.03977526015356","POINT (-114.03977526015356 51.124082808693814)"
" Stoney Trail south of Country Hills Boulevard NW ","Traffic incident. Blocking multiple lanes, delays in the area","2025/07/09 10:39:09 AM","2025/07/09 10:48:35 AM","NW","-114.21543707784","51.13779205205","1","2025-07-09T10:39:0951.137792052050116-114.21543707783665","POINT (-114.21543707783665 51.137792052050116)"
" Westbound Stoney Trail west of Country Hills Boulevard NW ","Traffic incident.  Blocking multiple lanes, delays in the area","2025/07/09 10:39:09 AM","2025/07/09 11:34:07 AM","NW","-114.2129589756","51.138774659","1","2025-07-09T10:39:0951.13877465900458-114.2129589755953","POINT (-114.2129589755953 51.13877465900458)"
" 5 Avenue and 1 Street SE ","Traffic incident.  Blocking the right lanes EB","2025/07/09 10:17:53 AM","2025/07/09 10:19:56 AM","SE","-114.06036702772","51.04831938724","1","2025-07-09T10:17:5351.0483193872369-114.06036702771831","POINT (-114.06036702771831 51.0483193872369)"
" Southbound Deerfoot Trail at 16 Avenue NE ","Traffic incident.   Blocking the right shoulder","2025/07/09 10:13:01 AM","2025/07/09 10:32:34 AM","NW","-114.02766657776","51.06457360084","1","2025-07-09T10:13:0151.064573600837015-114.02766657775547","POINT (-114.02766657775547 51.064573600837015)"
" Tarawood Drive and Tarawood Pl NE ","Traffic incident.","2025/07/09 09:40:43 AM","2025/07/09 10:19:56 AM","NE","-113.93711781992","51.12341426704","1","2025-07-09T09:40:4351.123414267040964-113.93711781992157","POINT (-113.93711781992157 51.123414267040964)"
" 68 Street and 100 Avenue SE ","Traffic incident.","2025/07/09 09:37:29 AM","2025/07/09 11:34:07 AM","SE","-113.93524694493","50.96741871046","1","2025-07-09T09:37:2950.96741871046062-113.93524694493172","POINT (-113.93524694493172 50.96741871046062)"
" Citadel Drive and Citadel Gate NW ","Traffic incident.","2025/07/09 09:35:32 AM","2025/07/09 10:19:56 AM","NW","-114.18023863977","51.14247745488","1","2025-07-09T09:35:3251.142477454877735-114.18023863976514","POINT (-114.18023863976514 51.142477454877735)"
" Southbound Sarcee Trail and Crowchild Trail NW ","Traffic incident.  Blocking the right lane","2025/07/09 09:18:34 AM","2025/07/09 10:48:35 AM","NW","-114.17864377159","51.1109189775","1","2025-07-09T09:18:3451.110918977501456-114.17864377159306","POINT (-114.17864377159306 51.110918977501456)"
" 26 Avenue and 32 Street NE ","Traffic incident.","2025/07/09 08:23:34 AM","2025/07/09 08:24:59 AM","NE","-113.98865040142","51.07786461759","1","2025-07-09T08:23:3451.07786461759171-113.98865040142212","POINT (-113.98865040142212 51.07786461759171)"
" 17 Avenue and 68 Street SE ","Traffic incident.","2025/07/09 06:33:25 AM","2025/07/09 06:34:31 AM","SE","-113.9353549198","51.03780800533","1","2025-07-09T06:33:2551.03780800532513-113.93535491979944","POINT (-113.93535491979944 51.03780800532513)"
" 17 Avenue and 68 Street SE ","There is an incident involving a pedestrian- EMS on site.","2025/07/09 06:33:25 AM","2025/07/09 06:49:30 AM","SE","-113.93552979117","51.03786599588","1","2025-07-09T06:33:2551.03786599588219-113.93552979117048","POINT (-113.93552979117048 51.03786599588219)"
" Westbound Crowchild Trail at Stoney Trail NW ","Traffic incident. The road is closed WB","2025/07/09 12:27:26 AM","2025/07/09 12:37:33 AM","NW","-114.22670830054","51.13092812673","1","2025-07-09T00:27:2651.130928126726445-114.22670830054393","POINT (-114.22670830054393 51.130928126726445)"
" 5 Avenue at 1 Street SW ","Two vehicle incident. Blocking the left EB lanes","2025/07/09 12:22:17 AM","2025/07/09 12:23:52 AM","SW","-114.06530035713","51.04845922243","1","2025-07-09T00:22:1751.0484592224298-114.06530035712919","POINT (-114.06530035712919 51.0484592224298)"
" Northbound Elbow Drive at Glenmore Trail SW ","Two vehicle incident. Blocking the left lane","2025/07/08 11:21:46 PM","2025/07/09 12:23:52 AM","NW","-114.08304750635","50.99417203287","1","2025-07-08T23:21:4650.99417203287194-114.08304750634728","POINT (-114.08304750634728 50.99417203287194)"
" 10 Avenue at 4 Street SW ","There is an incident involving a pedestrian. Blocking the EB lane","2025/07/08 10:59:32 PM","2025/07/08 11:22:56 PM","SW","-114.07151194138","51.04355744112","1","2025-07-08T22:59:3251.04355744112369-114.07151194137887","POINT (-114.07151194137887 51.04355744112369)"
" Westbound 16 Avenue at Deerfoot Trail NE ","Traffic incident. Blocking the left lanes","2025/07/08 09:46:08 PM","2025/07/08 09:47:51 PM","NE","-114.02855127153","51.06737988288","1","2025-07-08T21:46:0851.06737988287637-114.02855127153023","POINT (-114.02855127153023 51.06737988287637)"
" Red Embers Mr and Red Embers Tc NE ","There is an incident involving a pedestrian- EMS on site.","2025/07/08 08:11:38 PM","2025/07/08 08:27:23 PM","NW","-113.9496504623","51.17006544961","1","2025-07-08T20:11:3851.17006544961393-113.9496504623037","POINT (-113.9496504623037 51.17006544961393)"
" 17 Avenue and Richmond Road SW ","Two vehicle incident. Blocking multiple lanes","2025/07/08 06:29:30 PM","2025/07/08 08:13:01 PM","SW","-114.11232882165","51.03706728814","1","2025-07-08T18:29:3051.037067288139895-114.11232882165208","POINT (-114.11232882165208 51.037067288139895)"
" Eastbound Glenmore Trail approaching Blackfoot Trail SE ","Traffic incident. Blocking the left lane","2025/07/08 06:22:39 PM","2025/07/08 07:26:15 PM","NW","-114.06162627622","50.99386831459","1","2025-07-08T18:22:3950.993868314587935-114.06162627622092","POINT (-114.06162627622092 50.993868314587935)"
" Southbound Metis Trail approaching Airport Trail NE ","Traffic incident. Blocking the left lane","2025/07/08 06:13:03 PM","2025/07/08 06:24:23 PM","NE","-113.97022156926","51.14331695451","1","2025-07-08T18:13:0351.14331695451127-113.9702215692607","POINT (-113.9702215692607 51.14331695451127)"
" Eastbound Southland Drive at Blackfoot Trail SE ","Traffic incident. Blocking the right lane","2025/07/08 05:43:43 PM","2025/07/08 06:52:11 PM","SE","-114.03933996016","50.96560392525","1","2025-07-08T17:43:4350.96560392525218-114.03933996015513","POINT (-114.03933996015513 50.96560392525218)"
" Deerfoot Trail and Anderson Road SE ","Traffic incident.","2025/07/08 05:29:55 PM","2025/07/08 06:35:33 PM","SE","-114.02773855543","50.955752028","1","2025-07-08T17:29:5550.95575202799508-114.02773855542841","POINT (-114.02773855542841 50.95575202799508)"
" Eastbound Stoney Trail at Deerfoot Trail SE ","Two vehicle incident. Blocking the left lane","2025/07/08 05:23:41 PM","2025/07/08 07:47:35 PM","SE","-113.98661631491","50.89832085901","1","2025-07-08T17:23:4150.898320859011285-113.98661631491389","POINT (-113.98661631491389 50.898320859011285)"
" Westbound 16 Avenue at 6 Street NE ","Traffic incident. Blocking the middle lane","2025/07/08 05:06:41 PM","2025/07/08 05:16:27 PM","NE","-114.04733478864","51.06705501158","1","2025-07-08T17:06:4151.06705501157914-114.04733478863562","POINT (-114.04733478863562 51.06705501157914)"
" Southbound Barlow Trail after McKnight Boulevard NE ","Two vehicle incident. Blocking the right shoulder","2025/07/08 04:48:47 PM","2025/07/08 05:08:06 PM","NE","-114.00181618725","51.09154347959","1","2025-07-08T16:48:4751.09154347959358-114.0018161872544","POINT (-114.0018161872544 51.09154347959358)"
" Southbound Macleod Trail at Lake Fraser Gate SE ","Traffic incident. Blocking the right lane","2025/07/08 04:43:59 PM","2025/07/08 05:08:06 PM","NW","-114.07000445123","50.94174275852","1","2025-07-08T16:43:5950.94174275851819-114.07000445123145","POINT (-114.07000445123145 50.94174275851819)"
" Westbound Glenmore Trail at 68 Street SE ","Traffic incident. Blocking the right lane","2025/07/08 04:40:42 PM","2025/07/08 04:54:32 PM","SE","-113.94318263363","50.9796583783","1","2025-07-08T16:40:4250.97965837830098-113.94318263363407","POINT (-113.94318263363407 50.97965837830098)"
" Southbound Deerfoot Trail at Beddington Trail NE ","Traffic incident. Blocking the left lane","2025/07/08 03:35:18 PM","2025/07/08 03:59:02 PM","NE","-114.04615462318","51.12216558764","1","2025-07-08T15:35:1851.122165587638534-114.04615462317723","POINT (-114.04615462317723 51.122165587638534)"
" Northbound Macleod Trail approaching 194 Avenue SE ","Traffic incident. Blocking the right lanes","2025/07/08 03:17:29 PM","2025/07/08 03:23:02 PM","SE","-114.04538471701","50.87830651213","1","2025-07-08T15:17:2950.878306512127594-114.04538471701083","POINT (-114.04538471701083 50.878306512127594)"
" Northbound Macleod Trail approaching 194 Avenue SE ","Traffic incident.  Blocking the right lane","2025/07/08 03:17:29 PM","2025/07/08 03:45:50 PM","SE","-114.04236358673","50.87361513969","1","2025-07-08T15:17:2950.87361513969387-114.04236358673398","POINT (-114.04236358673398 50.87361513969387)"
" Westbound Glenmore Trail at Elbow Drive SW ","Stalled vehicle. Blocking the left lane","2025/07/08 03:09:08 PM","2025/07/08 03:10:46 PM","SW","-114.08169547023","50.99447899933","1","2025-07-08T15:09:0850.99447899933356-114.08169547022568","POINT (-114.08169547022568 50.99447899933356)"
" Southbound 36 Street at 26 Avenue NE ","Traffic incident. Blocking multiple lanes","2025/07/08 02:53:32 PM","2025/07/08 03:37:38 PM","NE","-113.98223793802","51.0779102958","1","2025-07-08T14:53:3251.07791029580174-113.98223793801733","POINT (-113.98223793801733 51.07791029580174)"
" Westbound Glenmore Trail at Elbow Drive SW ","Stalled vehicle. Blocking the right lane","2025/07/08 02:36:56 PM","2025/07/08 02:38:51 PM","SW","-114.07756138725","50.99457845736","1","2025-07-08T14:36:5650.99457845735704-114.07756138724852","POINT (-114.07756138724852 50.99457845735704)"
" Northbound Deerfoot Trail approaching Anderson Road SE ","Traffic incident. Blocking the middle lane","2025/07/08 12:25:46 PM","2025/07/08 01:40:42 PM","SE","-114.01958739138","50.95238193712","1","2025-07-08T12:25:4650.95238193711807-114.01958739137596","POINT (-114.01958739137596 50.95238193711807)"
" Southbound Deerfoot Trail approaching Glenmore Trail SE ","Multi-vehicle incident. Blocking the right lane","2025/07/08 12:07:58 PM","2025/07/08 01:49:33 PM","SE","-114.03393768312","50.99764879572","1","2025-07-08T12:07:5850.99764879572127-114.03393768312094","POINT (-114.03393768312094 50.99764879572127)"
" Deerfoot Trail and Stoney Trail NE ","Multi-vehicle incident. Blocking the SB to EB ramp left lane","2025/07/08 11:31:17 AM","2025/07/08 12:30:04 PM","NE","-114.00252399083","51.17633144545","1","2025-07-08T11:31:1751.17633144544691-114.00252399082623","POINT (-114.00252399082623 51.17633144544691)"
" Northbound Crowchild Trail after 50 Avenue SW ","Traffic incident. Blocking the right lane","2025/07/08 11:06:31 AM","2025/07/08 11:34:59 AM","SW","-114.11789261312","51.01152295266","1","2025-07-08T11:06:3151.01152295266369-114.11789261312072","POINT (-114.11789261312072 51.01152295266369)"
" Eastbound Glenmore Trail at 14 Street SW ","Multi-vehicle incident. Blocking the right lane","2025/07/08 10:50:37 AM","2025/07/08 11:44:01 AM","SW","-114.09673791076","50.99436772592","1","2025-07-08T10:50:3750.99436772591838-114.09673791076493","POINT (-114.09673791076493 50.99436772591838)"
" Northbound Elbow Drive at Malibou Road SW ","Two vehicle incident. Blocking the right lane","2025/07/08 09:37:08 AM","2025/07/08 10:49:20 AM","SW","-114.08318979053","50.99551276223","1","2025-07-08T09:37:0850.99551276222834-114.08318979053116","POINT (-114.08318979053116 50.99551276222834)"
" 42 Street and 112 Avenue SE ","Traffic incident.","2025/07/08 09:33:39 AM","2025/07/08 10:01:26 AM","SE","-113.97504978408","50.9524477989","1","2025-07-08T09:33:3950.95244779890322-113.97504978408381","POINT (-113.97504978408381 50.95244779890322)"
" 4 Avenue Flyover approaching 3 Street SE ","Two vehicle incident. Blocking the left lane","2025/07/08 09:27:10 AM","2025/07/08 09:39:13 AM","SE","-114.05316196493","51.04978263834","1","2025-07-08T09:27:1051.04978263833889-114.05316196493004","POINT (-114.05316196493004 51.04978263833889)"
" 23 Avenue and Crowchild Trail NW ","Traffic incident. Blocking the SB right lane","2025/07/08 08:44:44 AM","2025/07/08 08:46:40 AM","NW","-114.11803340935","51.07101018732","1","2025-07-08T08:44:4451.07101018731996-114.11803340935474","POINT (-114.11803340935474 51.07101018731996)"
" Southbound Deerfoot Trail at Beddington Trail NE ","Two vehicle incident. Blocking the right lane","2025/07/08 07:40:11 AM","2025/07/08 09:05:48 AM","NE","-114.04618678571","51.12490992382","1","2025-07-08T07:40:1151.12490992381597-114.04618678571323","POINT (-114.04618678571323 51.12490992381597)"
" Country Hills Boulevard and Stoney Trail NW ","Two vehicle incident. Blocking the SB right lane","2025/07/08 07:10:36 AM","2025/07/08 07:42:21 AM","NW","-114.21205750699","51.13903780436","1","2025-07-08T07:10:3651.13903780435684-114.21205750699234","POINT (-114.21205750699234 51.13903780435684)"
" Macleod Trail and 5 Avenue SE ","Traffic signals are blank. Crew has been dispatched","2025/07/08 02:18:13 AM","2025/07/08 03:10:40 AM","SE","-114.05790836092","51.04824961234","1","2025-07-08T02:18:1351.048249612338225-114.05790836092456","POINT (-114.05790836092456 51.048249612338225)"
" Northbound Stoney Trail approaching 114 Avenue SE ","Traffic incident. Blocking the right lane","2025/07/08 01:11:51 AM","2025/07/08 03:06:02 AM","SE","-113.91434908505","50.91987821378","1","2025-07-08T01:11:5150.91987821377765-113.9143490850488","POINT (-113.9143490850488 50.91987821377765)"
" 12 Avenue at 1 Street SW ","Traffic incident. Blocking the EB right lane","2025/07/08 01:10:43 AM","2025/07/08 02:19:10 AM","SW","-114.06578223922","51.04149514428","1","2025-07-08T01:10:4351.0414951442806-114.06578223922384","POINT (-114.06578223922384 51.0414951442806)"
" McCall Way and Barlow Trail NE ","Traffic incident. Blocking multiple lanes in the intersection","2025/07/07 10:37:46 PM","2025/07/08 01:12:58 AM","NE","-114.00082911477","51.10206381211","1","2025-07-07T22:37:4651.102063812110224-114.00082911477344","POINT (-114.00082911477344 51.102063812110224)"
" Eastbound 96 Avenue and Cornerstone Drive NE ","Single vehicle incident. Blocking multiple lanes","2025/07/07 08:41:53 PM","2025/07/07 08:46:30 PM","NE","-113.93510489882","51.13965377991","1","2025-07-07T20:41:5351.139653779908485-113.93510489881943","POINT (-113.93510489881943 51.139653779908485)"
" 85 Street and Wentworth Drive SW ","Traffic incident.","2025/07/07 06:03:39 PM","2025/07/07 06:40:01 PM","SW","-114.21137957273","51.05699540141","1","2025-07-07T18:03:3951.05699540141145-114.2113795727269","POINT (-114.2113795727269 51.05699540141145)"
" Eastbound Stoney Trail approaching Sarcee Trail NW ","Traffic incident.","2025/07/07 05:45:36 PM","2025/07/07 06:40:01 PM","NW","-114.17034962877","51.15180548388","1","2025-07-07T17:45:3651.15180548387969-114.17034962877312","POINT (-114.17034962877312 51.15180548387969)"
" Madison Avenue and Elbow Drive SW ","Traffic incident.","2025/07/07 05:35:54 PM","2025/07/07 06:18:37 PM","SW","-114.07929985464","51.01395417074","1","2025-07-07T17:35:5451.01395417074458-114.07929985464301","POINT (-114.07929985464301 51.01395417074458)"
" Citadel Wy and Country Hills Boulevard NW ","Traffic incident.","2025/07/07 05:29:57 PM","2025/07/07 06:40:01 PM","NW","-114.19553971629","51.14264228683","1","2025-07-07T17:29:5751.14264228682702-114.19553971628658","POINT (-114.19553971628658 51.14264228682702)"
" Eastbound Stoney Trail and Sarcee Trail NW ","Two vehicle incident. Blocking the right lane","2025/07/07 05:11:41 PM","2025/07/07 06:39:23 PM","NW","-114.17034962877","51.15180548388","1","2025-07-07T17:11:4151.15180548387969-114.17034962877312","POINT (-114.17034962877312 51.15180548387969)"
" Hawkstone Drive and Arbour Lake Wy NW ","Traffic incident.","2025/07/07 05:03:43 PM","2025/07/07 06:52:44 PM","NW","-114.1848755922","51.13744179713","1","2025-07-07T17:03:4351.137441797130556-114.18487559219568","POINT (-114.18487559219568 51.137441797130556)"
" Crowchild Trail and 5 Avenue NW ","Traffic incident.","2025/07/07 04:38:34 PM","2025/07/07 06:18:37 PM","NW","-114.11846821244","51.05721800766","1","2025-07-07T16:38:3451.05721800765688-114.1184682124392","POINT (-114.1184682124392 51.05721800765688)"
" Eastbound Glenmore Trail approaching Ogden Road SE ","Multi-vehicle incident.  Blocking multiple lanes","2025/07/07 04:33:52 PM","2025/07/07 06:05:24 PM","SE","-113.99963584587","50.97952539108","1","2025-07-07T16:33:5250.97952539108144-113.99963584587067","POINT (-113.99963584587067 50.97952539108144)"
" Old Banff Coach Road and Patterson Hl SW ","Traffic incident.","2025/07/07 03:37:54 PM","2025/07/07 04:40:49 PM","SW","-114.18483303707","51.0628619554","1","2025-07-07T15:37:5451.062861955395846-114.18483303707129","POINT (-114.18483303707129 51.062861955395846)"
" Westbound Glenmore Trail and Macleod Trail S ","Two vehicle incident. Blocking the right lane","2025/07/07 01:14:48 PM","2025/07/07 01:54:36 PM","SE","-114.07095220646","50.99432905527","1","2025-07-07T13:14:4850.99432905527296-114.07095220646026","POINT (-114.07095220646026 50.99432905527296)"
" Mahogany Road and Mahogany Boulevard SE ","Traffic incident.","2025/07/07 01:06:58 PM","2025/07/07 01:32:00 PM","SE","-113.93650602563","50.8946172164","1","2025-07-07T13:06:5850.89461721640276-113.93650602562674","POINT (-113.93650602562674 50.89461721640276)"
" 16 Avenue at Deerfoot Trail NE ","Traffic incident. Blocking the WB left lanes","2025/07/07 12:43:28 PM","2025/07/07 01:49:25 PM","NE","-114.02855127153","51.06737988288","1","2025-07-07T12:43:2851.06737988287637-114.02855127153023","POINT (-114.02855127153023 51.06737988287637)"
" Mahogany Road and Mahogany Pr SE ","Traffic incident.","2025/07/07 12:41:16 PM","2025/07/07 01:32:00 PM","SE","-113.94247602564","50.89384789263","1","2025-07-07T12:41:1650.8938478926293-113.94247602563749","POINT (-113.94247602563749 50.8938478926293)"
" Twelve Mi Coulee Road and Crowchild Trail NW ","Traffic incident.","2025/07/07 12:24:39 PM","2025/07/07 02:11:55 PM","NW","-114.25737426118","51.14286956885","1","2025-07-07T12:24:3951.14286956885107-114.25737426118339","POINT (-114.25737426118339 51.14286956885107)"
